Ordering,Tiff,Score,KLP score,LW score,SJ score,check,1+ Step Diff,Orginial ARVO Score,Comments
36,20190925mouse13_OD_L_4_90_0000016_Structure_0001RA 1.TIFF,2,2,3,2,3,,,
37,20190925mouse13_OD_L_4_90_0000036_Structure_0001RA 55.TIFF,0.5,0.5,0.5,0,0,,,
38,20190925mouse14_OD_L_4_90_0000006_Structure_0001RA 1.TIFF,1,1,0,1,x,,,
39,20190925mouse15_OD_L_4_90_0000016_Structure_0001RA 1.TIFF,3,3,0.5,3,x,,,
40,20190925mouse15_OD_L_4_90_0000036_Structure_0001RA 55.TIFF,2,4,2,2,4,,,
41,20190925mouse16_OD_L_4_90_0000006_Structure_0001 RA 1.TIFF,3,3,3,3,x,,,
42,20190925mouse16_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,1,0.5,1,1,0.5,,,
43,20190925mouse17_OD_L_4_90_0000016_Structure_0001 RA 1.TIFF,4,4,3,4,x,,,
44,20190925mouse17_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,0,0,0,0,x,,,
45,20190925mouse18_OD_L_4_90_0000006_Structure_0001 RA 1.TIFF,4,4,3,4,x,,,
46,20190925mouse18_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,0,0,0,0,x,,,
47,20190925mouse19_OD_L_4_90_0000016_Structure_0001 RA 1.TIFF,3,3,2,3,x,,,
48,20190925mouse19_OD_L_4_90_0000036_Structure_0001 RA28.TIFF,2,0.5,0.5,1,2,x,0.5,
49,20190925mouse2_OD_L_4_90_0000016_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
50,20190925mouse2_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,0.5,0.5,0.5,1,1,,,
51,20190925mouse20_OD_L_4_90_0000006_Structure_0001 RA 1.TIFF,4,4,4,4,x,,,
52,20190925mouse20_OD_L_4_90_0000016_Structure_0001 RA 28.TIFF,removed albino,0.5,0.5,0.5,,x,0.5,removed albino
53,20190925mouse3_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,2,2,2,1,x,,,
54,20190925mouse3_OD_L_4_90_0000036_Structure_0001 ra35.TIFF,0,0,0,0,x,,,
55,20190925mouse4_OD_L_4_90_0000012_Structure_0001 RA2.TIFF,2,0.5,3,0.5,2,x,0.5,
56,20190925mouse4_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,0,0,0,0,x,,,
57,20190925mouse5_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,1,1,1,1,x,,,
58,20190925mouse5_OD_L_4_90_0000036_Structure_0001 ra35.TIFF,1,1,0.5,1,x,,,
59,20190925mouse6_OD_L_4_90_0000016_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
60,20190925mouse6_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,1,0.5,1,1,x,,,
61,20190925mouse7_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,1,1,1,1,x,,,
62,20190925mouse7_OD_L_4_90_0000036_Structure_0001 ra35.TIFF,0.5,0,0.5,0.5,x,,,
63,20190925mouse8_OD_L_4_90_0000016_Structure_0001 RA2.TIFF,3,3,3,1,x,,,
64,20190925mouse8_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,1,0.5,1,1,0.5,,,
65,20190925mouse9_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,1,1,1,1,x,,,
66,20190925mouse9_OD_L_4_90_0000036_Structure_0001 ra35.TIFF,0.5,0.5,0.5,0,0,,,
67,20191003mouse1_OD_L_4_90_0000006_Structure_0001 ra2.TIFF,3,2,3,3,2,,,
68,20191003mouse1_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,1,0.5,1,1,x,,,
69,20191003mouse3_OD_L_4_90_0000006_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
70,20191003mouse3_OD_L_4_90_0000036_Structure_0001 ra35.TIFF,1,1,1,1,x,,,
71,20191003mouse5_OD_L_4_90_0000016_Structure_0001 ra2.TIFF,0.5,0.5,0.5,0.5,x,,,
72,20191003mouse5_OD_L_4_90_0000036_Structure_0001 ra35.TIFF,0,0,0,0,x,,,
73,20191003mouse6_OD_L_4_90_0000006_Structure_0001 ra2.TIFF,0,0,0.5,0,0.5,,,
74,20191003mouse6_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,1,0,1,1,x,,,
75,20191003mouse8_OD_L_4_90_0000006_Structure_0001 ra2.TIFF,0.5,0,0.5,0.5,x,,,
76,20191003mouse8_OD_L_4_90_0000026_Structure_0001 ra34.TIFF,1,1,0.5,1,x,,,
77,20200207mouse1_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,0,0,0,0,x,,,
78,20200207mouse10_OD_L_4_90_0000036_Structure_0001 RA28.TIFF,0,0,0,0,x,,,
79,20200207mouse2_OD_L_4_90_0000036_Structure_0001 RA28.TIFF,3,2,3,3,x,,,
80,20200207mouse3_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,0.5,0.5,0.5,0.5,x,,,
81,20200207mouse4_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,0,0,0.5,0,x,,,
82,20200207mouse5_OD_L_4_90_0000032_Structure_0001 RA28.TIFF,0,0,0,0,x,,,
83,20200207mouse6_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,2,2,2,3,x,,,
84,20200207mouse7_OD_L_4_90_0000026_Structure_0001 RA28.TIFF,1,1,2,1,x,,,
85,20200207mouse8_OD_L_4_90_0000036_Structure_0001 RA28.TIFF,1,1,1,1,x,,,
86,20200207mouse9_OD_L_4_90_0000036_Structure_0001 RA28.TIFF,0.5,0.5,0.5,0.5,x,,,
87,20200220mouse1_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,4,x,,,"duplicate image in ""Unwanted files"" folder "
88,20200220mouse10_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,1,1,1,0.5,x,,,"duplicate image in ""Unwanted files"" folder "
89,20200220mouse2_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,1,1,2,1,2,,,"duplicate image in ""Unwanted files"" folder "
90,20200220mouse3_OD_L_4_90_0000002_Structure_0001 ra1.TIFF,4,4,4,2,x,,,"duplicate image in ""Unwanted files"" folder "
91,20200220mouse4_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,2,2,2,1,x,,,
92,20200220mouse5_OD_L_4_90_0000012_Structure_0001 ra1.TIFF,2,2,2,2,x,,,"duplicate image in ""Unwanted files"" folder "
93,20200220mouse6_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,4,4,4,3,x,,,"duplicate image in ""Unwanted files"" folder "
94,20200220mouse7_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,3,x,,,"duplicate image in ""Unwanted files"" folder "
95,20200220mouse8_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,2,4,4,x,,,"duplicate image in ""Unwanted files"" folder "
96,20200220mouse9_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,2,2,2,2,x,,,
97,20200221mouse1_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,3,2,3,3,x,,,
98,20200221mouse1_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,1,1,1,1,x,,,
99,20200221mouse10_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,3,3,3,3,x,,,
100,20200221mouse10_OD_L_4_90_0000022_Structure_0001 ra28.TIFF,1,1,0.5,1,x,,,
101,20200221mouse2_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,1,1,2,1,x,,,
102,20200221mouse2_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,2,0.5,0.5,0.5,2,x,0.5,
103,20200221mouse3_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,2,2,3,2,3,,,
104,20200221mouse3_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,1,1,1,1,x,,,
105,20200221mouse4_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,4,x,,,
106,20200221mouse4_OD_L_4_90_0000022_Structure_0001 ra28.TIFF,0.5,0.5,0.5,0.5,1,,,cells on lens
107,20200221mouse5_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,1,1,1,2,2,,,
108,20200221mouse5_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,2,2,2,2,x,,,
109,20200221mouse6_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,4,x,,,
110,20200221mouse6_OD_L_4_90_0000016_Structure_0001 ra28.TIFF,4,4,4,4,x,,,
111,20200221mouse7_OD_L_4_90_0000012_Structure_0001 ra1.TIFF,2,3,2,2,3,,,
112,20200221mouse7_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,1,1,1,2,2,,,
113,20200221mouse8_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,4,x,,,"duplicate image in ""Unwanted files"" folder "
114,20200221mouse8_OD_L_4_90_0000016_Structure_0001 ra28.TIFF,1,1,1,2,x,,,
115,20200221mouse9_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,1,1,1,2,2,,,
116,20200221mouse9_OD_L_4_90_0000036_Structure_0001 ra28.TIFF,1,1,1,1,x,,,
117,20200225mouse1_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
118,20200225mouse1_OD_L_4_90_0000036_Structure_0001 ra 10h .TIFF,3,3,2,3,x,,,
119,20200225mouse1_OD_L_4_90_0000056_Structure_0001 ra 1.TIFF,1,1,1,2,2,,,
120,20200225mouse1_OD_L_4_90_0000062_Structure_0001 ra2.TIFF,1,1,1,2,2,,,"duplicate image in ""Unwanted files"" folder "
121,20200225mouse10_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
122,20200225mouse10_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,2,2,2,2,3,,,
123,20200225mouse10_OD_L_4_90_0000046_Structure_0001 ra 1.TIFF,2,2,2,3,3,,,
124,20200225mouse10_OD_L_4_90_0000075_Structure_0001 ra2.TIFF,3,3,3,3,x,,,
125,20200225mouse2_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
126,20200225mouse2_OD_L_4_90_0000022_Structure_0001 ra 10h.TIFF,2,2,1,2,3,,,
127,20200225mouse2_OD_L_4_90_0000042_Structure_0001 ra 1.TIFF,1,1,1,2,x,,,
128,20200225mouse2_OD_L_4_90_0000068_Structure_0001 ra2.TIFF,2,2,2,2,x,,,
129,20200225mouse3_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
130,20200225mouse3_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,1,1,2,1,x,,,
131,20200225mouse3_OD_L_4_90_0000052_Structure_0001 ra 1.TIFF,3,3,3,2,x,,,
132,20200225mouse3_OD_L_4_90_0000076_Structure_0001 ra2.TIFF,1,1,1,1,x,,,
133,20200225mouse4_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
134,20200225mouse4_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,0.5,0.5,0.5,1,x,,,
135,20200225mouse4_OD_L_4_90_0000046_Structure_0001 ra 1.TIFF,3,3,3,3,x,,,
136,20200225mouse4_OD_L_4_90_0000076_Structure_0001 ra2.TIFF,4,4,4,4,x,,,"duplicate image in ""Unwanted files"" folder "
137,20200225mouse5_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
138,20200225mouse5_OD_L_4_90_0000032_Structure_0001 ra 10h.TIFF,1,1,1,1,x,,,
139,20200225mouse5_OD_L_4_90_0000046_Structure_0001 ra 1.TIFF,3,3,3,3,4,,,
140,20200225mouse5_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,2,2,1,2,x,,,
141,20200225mouse6_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
142,20200225mouse6_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,2,2,2,2,x,,,
143,20200225mouse6_OD_L_4_90_0000046_Structure_0001 ra1.TIFF,2,2,2,2,3,,,
144,20200225mouse6_OD_L_4_90_0000076_Structure_0001 ra2.TIFF,3,3,3,2,x,,,"duplicate image in ""Unwanted files"" folder "
145,20200225mouse7_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
146,20200225mouse7_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,2,1,2,2,3,,,
147,20200225mouse7_OD_L_4_90_0000056_Structure_0001 ra 1.TIFF,2,2,2,2,x,,,
148,20200225mouse7_OD_L_4_90_0000072_Structure_0001 ra2.TIFF,4,4,4,3,x,,,
149,20200225mouse8_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,0,0,0,0,x,,,
150,20200225mouse8_OD_L_4_90_0000046_Structure_0001 ra 1.TIFF,0,0,0,0,x,,,
151,20200225mouse8_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,0.5,0.5,0.5,0,x,,,
152,20200225mouse9_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
153,20200225mouse9_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,1,1,1,1,x,,,
154,20200225mouse9_OD_L_4_90_0000056_Structure_0001 ra 1.TIFF,4,4,4,4,x,,,
155,20200225mouse9_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,4,4,4,3,x,,,"duplicate image in ""Unwanted files"" folder "
156,20200226mouse1_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,4,x,,,
157,20200226mouse1_OD_L_4_90_0000042_Structure_0001 ra28.TIFF,2,2,3,2,x,,,
158,20200226mouse10_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,4,4,4,4,x,,,"duplicate image in ""Unwanted files"" folder "
159,20200226mouse10_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
160,20200226mouse11_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
161,20200226mouse11_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,2,2,2,2,3,,,
162,20200226mouse11_OD_L_4_90_0000056_Structure_0001 ra 1.TIFF,2,2,2,3,3,,,
163,20200226mouse11_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
164,20200226mouse12_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
165,20200226mouse12_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,3,3,3,3,x,,,
166,20200226mouse12_OD_L_4_90_0000046_Structure_0001 ra 1.TIFF,3,3,3,3,x,,,
167,20200226mouse12_OD_L_4_90_0000068_Structure_0001 ra2.TIFF,2,2,3,2,x,,,
168,20200226mouse13_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
169,20200226mouse13_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,1,1,1,1,x,,,
170,20200226mouse13_OD_L_4_90_0000056_Structure_0001 ra 1.TIFF,2,2,2,2,x,,,
171,20200226mouse13_OD_L_4_90_0000076_Structure_0001 ra2.TIFF,2,2,2,2,3,,,
172,20200226mouse14_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
173,20200226mouse14_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,2,2,2,2,x,,,
174,20200226mouse14_OD_L_4_90_0000036_Structure_0001 ra 1.TIFF,2,3,2,2,3,,,
175,20200226mouse14_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,3,3,3,3,x,,,
176,20200226mouse15_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
177,20200226mouse15_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,2,2,2,2,3,,,
178,20200226mouse15_OD_L_4_90_0000056_Structure_0001 ra 1.TIFF,2,1,2,2,x,,,
179,20200226mouse15_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
180,20200226mouse16_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
181,20200226mouse16_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,1,1,1,1,x,,,
182,20200226mouse16_OD_L_4_90_0000049_Structure_0001 ra 1.TIFF,2,2,2,2,3,,,
183,20200226mouse16_OD_L_4_90_0000075_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
184,20200226mouse17_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
185,20200226mouse17_OD_L_4_90_0000036_Structure_0001 ra 10h.TIFF,2,2,2,2,x,,,
186,20200226mouse17_OD_L_4_90_0000052_Structure_0001 ra 1.TIFF,4,3,4,4,x,,,
187,20200226mouse17_OD_L_4_90_0000066_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
188,20200226mouse18_OD_L_4_90_0000006_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
189,20200226mouse18_OD_L_4_90_0000026_Structure_0001 ra 10h.TIFF,4,4,4,4,x,,,
190,20200226mouse18_OD_L_4_90_0000036_Structure_0001 ra 1.TIFF,4,4,4,4,x,,,
191,20200226mouse18_OD_L_4_90_0000046_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
192,20200226mouse19_OD_L_4_90_0000016_Structure_0001 ra 0.TIFF,0,0,0,0,x,,,
193,20200226mouse19_OD_L_4_90_0000032_Structure_0001 ra 10h.TIFF,3,3,3,4,x,,,
194,20200226mouse19_OD_L_4_90_0000052_Structure_0001 ra 1.TIFF,4,4,4,4,x,,,
195,20200226mouse19_OD_L_4_90_0000062_Structure_0001 ra2.TIFF,4,4,4,4,x,,,
196,20200226mouse2_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,3,3,3,4,x,,,"duplicate image in ""Unwanted files"" folder "
197,20200226mouse2_OD_L_4_90_0000016_Structure_0001 ra28.TIFF,1,1,1,1,x,,,
198,20200226mouse3_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,2,2,2,2,3,,,"duplicate image in ""Unwanted files"" folder "
199,20200226mouse3_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,0.5,0.5,0,0.5,x,,,
200,20200226mouse4_OD_L_4_90_0000006_Structure_0001 RA1.TIFF,4,4,3,4,x,,,"duplicate image in ""Unwanted files"" folder "
201,20200226mouse4_OD_L_4_90_0000036_Structure_0001 ra28.TIFF,2,0.5,0.5,0.5,2,x,0.5,
202,20200226mouse5_OD_L_4_90_0000016_Structure_0001 RA1.TIFF,3,3,3,2,x,,,"duplicate image in ""Unwanted files"" folder "
203,20200226mouse5_OD_L_4_90_0000036_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
204,20200226mouse6_OD_L_4_90_0000006_Structure_0001 RA1.TIFF,2,2,2,2,x,,,"duplicate image in ""Unwanted files"" folder "
205,20200226mouse6_OD_L_4_90_0000036_Structure_0001 ra28.TIFF,0.5,0.5,0.5,0.5,1,,,cells on lens
206,20200226mouse7_OD_L_4_90_0000016_Structure_0001 RA1.TIFF,3,3,3,3,x,,,"duplicate image in ""Unwanted files"" folder "
207,20200226mouse7_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,2,2,2,2,x,,,
208,20200226mouse8_OD_L_4_90_0000006_Structure_0001 ra1.TIFF,3,3,3,3,4,,,
209,20200226mouse8_OD_L_4_90_0000026_Structure_0001 ra28.TIFF,0.5,0.5,0.5,1,1,,,cells on lens
210,20200226mouse9_OD_L_4_90_0000016_Structure_0001 ra1.TIFF,2,2,2,2,3,,,
211,20200226mouse9_OD_L_4_90_0000036_Structure_0001 ra28.TIFF,0.5,0.5,0.5,1,1,,,
212,20200303mouse1_OD_L_4_90_0000016_Structure_0001 RA1.TIFF,3,3,4,3,4,,,
213,20200421mouse1_OD_L_4_90_0000016_Structure_0001 RA1.TIFF,0,0,0,0,x,,,
214,20200421mouse1_OD_L_4_90_0000036_Structure_0001 RA14.TIFF,0,0,0,0,x,,,
215,20200421mouse1_OD_L_4_90_0000060_Structure_0001 RA21.TIFF,0,0,0,0,x,,,
216,20200421mouse1_OD_L_4_90_0000080_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
217,20200421mouse1_OD_L_4_90_0000090_Structure_0001 RA35.TIFF,0,0,0,0,x,,,
218,20200421mouse1_OD_L_4_90_0000120_Structure_0001 RA42.TIFF,0,0,0,0,x,,,
219,20200421mouse1_OD_L_4_90_0000140_Structure_0001 RA49.TIFF,0,0,0,0,x,,,
220,20200421mouse1_OD_L_4_90_0000160_Structure_0001 RA54.TIFF,0,0,0,0,x,,,
221,20200421mouse10_OD_L_4_90_0000006_Structure_0001 RA1.TIFF,0.5,0.5,0.5,0.5,x,,,
222,20200421mouse10_OD_L_4_90_0000036_Structure_0001 RA14.TIFF,0,0,0,0,x,,,
223,20200421mouse10_OD_L_4_90_0000042_Structure_0001 ra21.TIFF,0,0,0,0,x,,,
224,20200421mouse10_OD_L_4_90_0000066_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
225,20200421mouse10_OD_L_4_90_0000096_Structure_0001 RA35.TIFF,0,0,0,0,x,,,
226,20200421mouse10_OD_L_4_90_0000106_Structure_0001 RA42.TIFF,0,0,0,0,x,,,
227,20200421mouse10_OD_L_4_90_0000126_Structure_0001 RA49.TIFF,0,0,0,0,x,,,
228,20200421mouse10_OD_L_4_90_0000156_Structure_0001 RA54.TIFF,0,0,0,0,x,,,
229,20200421mouse11_OD_L_4_90_0000016_Structure_0001 RA1.TIFF,0,0,0.5,0,x,,,
230,20200421mouse11_OD_L_4_90_0000026_Structure_0001 RA14.TIFF,0,0,0,0,x,,,
231,20200421mouse11_OD_L_4_90_0000056_Structure_0001 RA21.TIFF,0,0,0,0,x,,,
232,20200421mouse11_OD_L_4_90_0000076_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
233,20200421mouse11_OD_L_4_90_0000086_Structure_0001 RA35.TIFF,0,0,0,0,x,,,
234,20200421mouse11_OD_L_4_90_0000118_Structure_0001 RA42.TIFF,0,0,0,0,x,,,
235,20200421mouse11_OD_L_4_90_0000142_Structure_0001 RA49.TIFF,0,0,0,0,x,,,
236,20200421mouse11_OD_L_4_90_0000152_Structure_0001 RA54.TIFF,0,0,0,0,x,,,
237,20200421mouse12_OD_L_4_90_0000006_Structure_0001 RA1.TIFF,3,3,2,3,x,,,
238,20200421mouse12_OD_L_4_90_0000036_Structure_0001 RA14.TIFF,1,1,1,1,x,,,
239,20200421mouse12_OD_L_4_90_0000046_Structure_0001 RA21.TIFF,1,1,1,1,x,,,
240,20200421mouse12_OD_L_4_90_0000066_Structure_0001 ra28.TIFF,1,1,0,1,x,,,
241,20200421mouse12_OD_L_4_90_0000096_Structure_0001 RA35.TIFF,1,1,0.5,1,x,,,
242,20200421mouse12_OD_L_4_90_0000106_Structure_0001 RA42.TIFF,0.5,0.5,0.5,1,0,,,
243,20200421mouse13_OD_L_4_90_0000016_Structure_0001 RA1.TIFF,0,0,0,0,x,,,
244,20200421mouse13_OD_L_4_90_0000026_Structure_0001 RA14.TIFF,0,0,0,0,x,,,
245,20200421mouse13_OD_L_4_90_0000056_Structure_0001 RA21.TIFF,0,0,0,0,x,,,
246,20200421mouse13_OD_L_4_90_0000076_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
247,20200421mouse14_OD_L_4_90_0000006_Structure_0001 RA1.TIFF,0,0,0,0,x,,,
248,20200421mouse14_OD_L_4_90_0000036_Structure_0001 RA14.TIFF,0,0,0,0,x,,,
249,20200421mouse14_OD_L_4_90_0000046_Structure_0001 RA21.TIFF,0,0,0,0,x,,,
250,20200421mouse14_OD_L_4_90_0000066_Structure_0001 ra28.TIFF,0,0,0,0,x,,,
251,20200421mouse14_OD_L_4_90_0000086_Structure_0001 RA35.TIFF,0,0,0,0,x,,,
252,20200421mouse14_OD_L_4_90_0000116_Structure_0001 RA42.TIFF,0,0,0,0,x,,,
